Time	Analog in 1	Analog in 2
t/ms	U/V	U/V

0,0	0,01	0,92
60,0	0,01	0,69
120,0	0,01	0,6
180,0	0,01	0,5
240,0	0,02	1,02
300,0	0,01	0,68
360,0	0,01	0,9
420,0	0,01	0,92
480,0	0,01	0,95
540,0	0,01	0,95
600,0	0,02	1,17
660,0	0,01	1,22
720,0	0,01	1,34
780,0	0,01	1,64
840,0	0,01	1,6
900,0	0,01	1,4
960,0	0,02	1,7
1020,0	0,01	1,75
1080,0	0,01	1,97
1140,0	0,01	2,08
1200,0	0,01	1,9
1260,0	0,01	1,94
1320,0	0,01	1,87
1380,0	0,01	2,47
1440,0	0,01	2,3
1500,0	0,01	2,15
1560,0	0,01	2,26
1620,0	0,01	2,64
1680,0	0,01	2,39
1740,0	0,0	2,67
1800,0	0,01	2,85
1860,0	0,0	2,79
1920,0	0,0	2,67
1980,0	0,0	2,92
2040,0	0,0	2,98
2100,0	0,0	3,07
2160,0	0,0	3,15
2220,0	0,0	3,13
2280,0	0,0	3,4
2340,0	-0,01	3,13
2400,0	-0,01	3,52
2460,0	-0,01	3,46
2520,0	-0,02	3,68
2580,0	-0,02	3,72
2640,0	-0,02	3,72
2700,0	-0,02	3,75
2760,0	-0,02	3,71
2820,0	-0,03	3,92
2880,0	-0,03	3,57
2940,0	-0,03	4,1
3000,0	-0,04	4,04
3060,0	-0,04	4,14
3120,0	-0,04	4,11
3180,0	-0,04	4,02
3240,0	-0,05	4,11
3300,0	-0,05	4,46
3360,0	-0,05	4,58
3420,0	-0,06	4,25
3480,0	-0,05	4,35
3540,0	-0,06	4,76
3600,0	-0,06	4,76
3660,0	-0,07	4,77
3720,0	-0,07	4,77
3780,0	-0,08	4,71
3840,0	-0,08	4,58
3900,0	-0,09	4,86
3960,0	-0,09	5,0
4020,0	-0,1	5,26
4080,0	-0,1	4,96
4140,0	-0,11	5,32
4200,0	-0,12	5,14
4260,0	-0,12	5,36
4320,0	-0,13	5,66
4380,0	-0,14	5,23
4440,0	-0,15	5,44
4500,0	-0,16	5,57
4560,0	-0,17	5,47
4620,0	-0,19	5,75
4680,0	-0,2	5,66
4740,0	-0,21	5,89
4800,0	-0,22	6,07
4860,0	-0,23	5,83
4920,0	-0,25	6,27
4980,0	-0,27	6,08
5040,0	-0,28	5,84
5100,0	-0,29	5,98
