Time	Analog in 1	Analog in 2
t/ms	U/V	U/V

0.0	0.06	0.39
30.0	0.06	0.5
60.0	0.06	0.53
90.0	0.06	0.65
120.0	0.06	0.59
150.0	0.06	0.68
180.0	0.06	0.69
210.0	0.06	0.74
240.0	0.06	0.77
270.0	0.06	0.83
300.0	0.06	0.89
330.0	0.05	0.87
360.0	0.06	0.92
390.0	0.06	0.98
420.0	0.06	0.99
450.0	0.05	0.95
480.0	0.06	1.08
510.0	0.05	1.11
540.0	0.06	1.19
570.0	0.06	1.14
600.0	0.06	1.2
630.0	0.06	1.25
660.0	0.06	1.22
690.0	0.06	1.22
720.0	0.06	1.33
750.0	0.06	1.42
780.0	0.06	1.45
810.0	0.06	1.45
840.0	0.06	1.51
870.0	0.06	1.54
900.0	0.06	1.58
930.0	0.06	1.58
960.0	0.06	1.66
990.0	0.06	1.85
1020.0	0.06	1.75
1050.0	0.06	1.78
1080.0	0.06	1.82
1110.0	0.05	1.81
1140.0	0.06	2.03
1170.0	0.05	1.91
1200.0	0.05	1.88
1230.0	0.05	2.0
1260.0	0.05	2.0
1290.0	0.06	2.15
1320.0	0.05	2.06
1350.0	0.06	2.23
1380.0	0.05	2.15
1410.0	0.06	2.18
1440.0	0.05	2.12
1470.0	0.06	2.27
1500.0	0.05	2.38
1530.0	0.05	2.3
1560.0	0.05	2.38
1590.0	0.05	2.36
1620.0	0.05	2.44
1650.0	0.05	2.47
1680.0	0.05	2.55
1710.0	0.05	2.53
1740.0	0.05	2.7
1770.0	0.05	2.59
1800.0	0.05	2.61
1830.0	0.04	2.77
1860.0	0.05	2.73
1890.0	0.05	2.71
1920.0	0.04	2.76
1950.0	0.04	2.83
1980.0	0.04	2.88
2010.0	0.04	2.88
2040.0	0.03	2.88
2070.0	0.04	2.95
2100.0	0.04	3.03
2130.0	0.03	2.98
2160.0	0.03	3.04
2190.0	0.03	3.1
2220.0	0.03	3.13
2250.0	0.03	3.19
2280.0	0.03	3.1
2310.0	0.02	3.27
2340.0	0.02	3.28
2370.0	0.02	3.31
2400.0	0.02	3.27
2430.0	0.02	3.3
2460.0	0.01	3.39
2490.0	0.01	3.42
2520.0	0.01	3.45
2550.0	0.01	3.45
2580.0	0.01	3.57
2610.0	0.01	3.57
2640.0	0.0	3.58
2670.0	0.0	3.63
2700.0	0.0	3.64
